"origin","dest","year","flow_2.5%","flow_50%","flow_97.5%"
"Austria","Austria","2009",NA,NA,NA
"Belgium","Austria","2009",221.9,344.3,528.8
"Bulgaria","Austria","2009",1695.2,2611.9,3975
"Croatia","Austria","2009",1002.6,1561.4,2424.1
"Cyprus","Austria","2009",22.4,36.5,59.4
"Czechia","Austria","2009",727.2,1133.2,1761.2
"Denmark","Austria","2009",157.2,210.7,283.4
"Estonia","Austria","2009",35.9,55.9,88
"Finland","Austria","2009",104.8,141.7,192.9
"France","Austria","2009",624.1,956.6,1493.3
"Germany","Austria","2009",13368.3,20823.4,32158.5
"Greece","Austria","2009",362.7,564.8,893.2
"Hungary","Austria","2009",3944.5,6107.7,9318.4
"Iceland","Austria","2009",20.7,30.1,43.3
"Ireland","Austria","2009",121.1,187.4,287.1
"Italy","Austria","2009",2043.6,2918.2,4102.1
"Latvia","Austria","2009",97.5,152.6,241.1
"Liechtenstein","Austria","2009",60.4,89,128.2
"Lithuania","Austria","2009",103.4,147.9,210.8
"Luxembourg","Austria","2009",69,109.6,173.3
"Malta","Austria","2009",11.9,20.3,34.1
"Netherlands","Austria","2009",459.3,714.8,1098.4
"Norway","Austria","2009",61.2,84.9,118.8
"Poland","Austria","2009",2301.4,3650.2,5640.1
"Portugal","Austria","2009",223.6,349.4,543.3
"Romania","Austria","2009",5547.4,8741.6,13722.7
"Slovakia","Austria","2009",2262.9,3454.9,5306
"Slovenia","Austria","2009",598.5,846.2,1203.1
"Spain","Austria","2009",709.8,1101.3,1696.7
"Sweden","Austria","2009",224.2,298.4,401.9
"Switzerland","Austria","2009",1024.1,1567.5,2442.6
"United Kingdom","Austria","2009",942.4,1448.1,2267.3
"North Macedonia","Austria","2009",552.3,718.8,941.1
"Other Europe","Austria","2009",9994.7,13153.7,17178.7
"North Africa","Austria","2009",761.2,986.1,1296
"Sub-Saharan Africa","Austria","2009",1432.2,1878.3,2442.1
"West Asia","Austria","2009",2310.9,3038.4,3970.7
"East Asia","Austria","2009",1369.8,1779.2,2313.2
"South-Southeast Asia","Austria","2009",2953.6,3834,4973.2
"North America and Oceania","Austria","2009",1323.3,1725.9,2264.2
"Latin America","Austria","2009",979.2,1287,1676
"Austria","Belgium","2009",170.5,265.8,415
"Belgium","Belgium","2009",NA,NA,NA
"Bulgaria","Belgium","2009",1433.5,2704.3,5074.8
"Croatia","Belgium","2009",74.3,140.8,264.6
"Cyprus","Belgium","2009",30.8,58,112.6
"Czechia","Belgium","2009",192.1,370,696.4
"Denmark","Belgium","2009",228.7,314.9,439.7
"Estonia","Belgium","2009",54.8,100.7,180.3
"Finland","Belgium","2009",170.9,240.3,336.5
"France","Belgium","2009",6849.7,13045.5,24429.7
"Germany","Belgium","2009",1628.4,3122,5886.6
"Greece","Belgium","2009",500.9,970.1,1854.1
"Hungary","Belgium","2009",345.7,645.3,1211.7
"Iceland","Belgium","2009",16.1,24.9,38.1
"Ireland","Belgium","2009",197,358.9,653
"Italy","Belgium","2009",3095.7,4751.9,7278.6
"Latvia","Belgium","2009",101.6,192.5,359.9
"Liechtenstein","Belgium","2009",1.3,2.5,4.7
"Lithuania","Belgium","2009",194.6,301.8,465.9
"Luxembourg","Belgium","2009",720.4,1351.1,2575.6
"Malta","Belgium","2009",28.1,54.4,105.5
"Netherlands","Belgium","2009",3826.9,7283.2,13516.6
"Norway","Belgium","2009",139.2,195.3,273.1
"Poland","Belgium","2009",2485,4631.4,8721.2
"Portugal","Belgium","2009",1208.7,2317.9,4331.7
"Romania","Belgium","2009",3367.2,6354.1,12194.6
"Slovakia","Belgium","2009",202.8,366.4,669.7
"Slovenia","Belgium","2009",103.1,160.1,248.9
"Spain","Belgium","2009",3960.5,6042.7,9276.5
"Sweden","Belgium","2009",291.5,404.1,563.2
"Switzerland","Belgium","2009",370.1,676.2,1257.8
"United Kingdom","Belgium","2009",1205.1,2230.5,4152
"North Macedonia","Belgium","2009",148.6,263.8,465.7
"Other Europe","Belgium","2009",3255.8,5940.3,11213.8
"North Africa","Belgium","2009",2969.7,5633.1,10417.4
"Sub-Saharan Africa","Belgium","2009",4866.1,9225.6,17430.8
"West Asia","Belgium","2009",2930.3,5574.5,10136.4
"East Asia","Belgium","2009",1364.2,2520.2,4750.6
"South-Southeast Asia","Belgium","2009",3507.4,6649.9,12161
"North America and Oceania","Belgium","2009",1796,3348.7,6293.7
"Latin America","Belgium","2009",1685.6,3159,5984.8
"Austria","Bulgaria","2009",743.4,1156.9,1789.8
"Belgium","Bulgaria","2009",440.7,825.2,1552.6
"Bulgaria","Bulgaria","2009",NA,NA,NA
"Croatia","Bulgaria","2009",10.3,21.5,44.6
"Cyprus","Bulgaria","2009",210.8,448.7,962.7
"Czechia","Bulgaria","2009",159.4,342.8,743.6
"Denmark","Bulgaria","2009",126.3,179.3,252.4
"Estonia","Bulgaria","2009",20.6,39.5,75.8
"Finland","Bulgaria","2009",32.7,49.1,73
"France","Bulgaria","2009",330.8,636.3,1213.1
"Germany","Bulgaria","2009",1775.5,3863.7,8049.3
"Greece","Bulgaria","2009",1616,3422.3,7492.1
"Hungary","Bulgaria","2009",51.2,111,239.3
